Segment Type,"Data_Partner_KVP__
_lp_no_special_characters_-_case_sensitive_rp_","Data Partner Segment Name 
(Tier 1)","Data Partner Segment Name 
(Tier 2)","Data Partner Segment Name 
(Tier 3)","Data Partner Segment Name
(Tier 4)",Brand Safety,Date Added, Segment Status,NOTES,DSP Example Output,version (temporary)
IAB-Category,sr_bankruptcy,Business and Finance,Business,Business Banking & Finance,Bankruptcy,N/A,10/3/24,New,,Business and Finance | Business | Business Banking & Finance | Bankruptcy,v1
IAB-Category,sr_barbecuesandgrilling,Food & Drink,Barbecues and Grilling,,,N/A,10/3/24,New,,Food & Drink | Barbecues and Grilling,v1
IAB-Category,sr_bars_and_restaurants,Attractions,Bars & Restaurants,,,N/A,10/3/24,New,,Attractions | Bars & Restaurants,v1
IAB-Category,sr_baseball,Sports,Baseball,,,N/A,10/3/24,New,,Sports | Baseball,v1
IAB-Category,sr_basketball,Sports,Basketball,,,N/A,10/3/24,New,,Sports | Basketball,v1
IAB-Category,sr_bathandshower,Style & Fashion,Personal Care,Bath and Shower,,N/A,10/3/24,New,,Style & Fashion | Personal Care | Bath and Shower,v1
IAB-Category,sr_beachtravel,Travel,Travel Type,Beach Travel,,N/A,10/3/24,New,,Travel | Travel Type | Beach Travel,v1
IAB-Category,sr_beachvolleyball,Sports,Beach Volleyball,,,N/A,10/3/24,New,,Sports | Beach Volleyball,v1
IAB-Category,sr_beadwork,Hobbies & Interests,Arts and Crafts,Beadwork,,N/A,10/3/24,New,,Hobbies & Interests | Arts and Crafts | Beadwork,v1
IAB-Category,sr_beauty,Style & Fashion,Beauty,,,N/A,10/3/24,New,,Style & Fashion | Beauty,v1
IAB-Category,sr_bed_and_breakfasts,Travel,Travel Type,Bed & Breakfasts,,N/A,10/3/24,New,,Travel | Travel Type | Bed & Breakfasts,v1
IAB-Category,sr_beekeeping,Hobbies & Interests,Beekeeping,,,N/A,10/3/24,New,,Hobbies & Interests | Beekeeping,v1
IAB-Category,sr_bereavement,Family and Relationships,Bereavement,,,N/A,10/3/24,New,,Family and Relationships | Bereavement,v1
IAB-Category,sr_biographies,Genres,Biographies,,,N/A,10/3/24,New,,Genres | Biographies,v1
IAB-Category,sr_biologicalsciences,Science,Biological Sciences,,,N/A,10/3/24,New,,Science | Biological Sciences,v1
IAB-Category,sr_biotechandbiomedicalindustry,Business and Finance,Industries,Biotech and Biomedical Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Biotech and Biomedical Industry,v1
IAB-Category,sr_birds,Pets,Birds,,,N/A,10/3/24,New,,Pets | Birds,v1
IAB-Category,sr_birdwatching,Hobbies & Interests,Birdwatching,,,N/A,10/3/24,New,,Hobbies & Interests | Birdwatching,v1
IAB-Category,sr_birth,Personal Celebrations & Life Events,Birth,,,N/A,10/3/24,New,,Personal Celebrations & Life Events | Birth,v1
IAB-Category,sr_birthcontrol,Medical Health,Diseases and Conditions,Reproductive Health,Birth Control,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Reproductive Health | Birth Control,v1
IAB-Category,sr_birthday,Personal Celebrations & Life Events,Birthday,,,N/A,10/3/24,New,,Personal Celebrations & Life Events | Birthday,v1
IAB-Category,sr_blooddisorders,Medical Health,Diseases and Conditions,Blood Disorders,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Blood Disorders,v1
IAB-Category,sr_blues,Music,Blues,,,N/A,10/3/24,New,,Music | Blues,v1
IAB-Category,sr_boardgamesandpuzzles,Hobbies & Interests,Games and Puzzles,Board Games and Puzzles,,N/A,10/3/24,New,,Hobbies & Interests | Games and Puzzles | Board Games and Puzzles,v1
IAB-Category,sr_bodyart,Style & Fashion,Body Art,,,N/A,10/3/24,New,,Style & Fashion | Body Art,v1
IAB-Category,sr_bodybuilding,Sports,Bodybuilding,,,N/A,10/3/24,New,,Sports | Bodybuilding,v1
IAB-Category,sr_boneandjointconditions,Medical Health,Diseases and Conditions,Bone and Joint Conditions,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Bone and Joint Conditions,v1
IAB-Category,sr_booksandliterature,Books and Literature,,,,N/A,10/3/24,New,,Books and Literature,v1
IAB-Category,sr_bowling,Sports,Bowling,,,N/A,10/3/24,New,,Sports | Bowling,v1
IAB-Category,sr_boxing,Sports,Boxing,,,N/A,10/3/24,New,,Sports | Boxing,v1
IAB-Category,sr_brainandnervoussystemdisorders,Medical Health,Diseases and Conditions,Brain and Nervous System Disorders,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Brain and Nervous System Disorders,v1
IAB-Category,sr_browsers,Technology & Computing,Computing,Computer Software and Applications,Browsers,N/A,10/3/24,New,,Technology & Computing | Computing | Computer Software and Applications | Browsers,v1
IAB-Category,sr_buddhism,Religion & Spirituality,Buddhism,,,N/A,10/3/24,New,,Religion & Spirituality | Buddhism,v1
IAB-Category,sr_budgetcars,Automotive,Auto Type,Budget Cars,,N/A,10/3/24,New,,Automotive | Auto Type | Budget Cars,v1
IAB-Category,sr_budgettravel,Travel,Travel Type,Budget Travel,,N/A,10/3/24,New,,Travel | Travel Type | Budget Travel,v1
IAB-Category,sr_business,Business and Finance,Business,,,N/A,10/3/24,New,,Business and Finance | Business,v1
IAB-Category,sr_businessaccounting_and_finance,Business and Finance,Business,Business Accounting & Finance,,N/A,10/3/24,New,,Business and Finance | Business | Business Accounting & Finance,v1
IAB-Category,sr_businessadministration,Business and Finance,Business,Business Administration,,N/A,10/3/24,New,,Business and Finance | Business | Business Administration,v1
IAB-Category,sr_businessandfinance,Business and Finance,,,,N/A,10/3/24,New,,Business and Finance,v1
IAB-Category,sr_businessbanking_and_finance,Business and Finance,Business,Business Banking & Finance,,N/A,10/3/24,New,,Business and Finance | Business | Business Banking & Finance,v1
IAB-Category,sr_businessexpos_and_conferences,Events,Business Expos & Conferences,,,N/A,10/3/24,New,,Events | Business Expos & Conferences,v1
IAB-Category,sr_business_it,Business and Finance,Business,Business I.T.,,N/A,10/3/24,PENDING,"Removed periods added underscore, APPROVED - Collin Stoffel 10/2/2024",Business and Finance | Business | Business I.T.,v1
IAB-Category,sr_businessloans,Business and Finance,Business,Business Banking & Finance,Business Loans,N/A,10/3/24,New,,Business and Finance | Business | Business Banking & Finance | Business Loans,v1
IAB-Category,sr_businessoperations,Business and Finance,Business,Business Operations,,N/A,10/3/24,New,,Business and Finance | Business | Business Operations,v1
IAB-Category,sr_businesstravel,Travel,Travel Type,Business Travel,,N/A,10/3/24,New,,Travel | Travel Type | Business Travel,v1
IAB-Category,sr_businessutilities,Business and Finance,Business,Business Utilities,,N/A,10/3/24,New,,Business and Finance | Business | Business Utilities,v1
IAB-Category,sr_camerasandcamcorders,Technology & Computing,Consumer Electronics,Cameras and Camcorders,,N/A,10/3/24,New,,Technology & Computing | Consumer Electronics | Cameras and Camcorders,v1
IAB-Category,sr_camping,Travel,Travel Type,Camping,,N/A,10/3/24,New,,Travel | Travel Type | Camping,v1
IAB-Category,sr_cancer,Medical Health,Diseases and Conditions,Cancer,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Cancer,v1
IAB-Category,sr_candleandsoapmaking,Hobbies & Interests,Arts and Crafts,Candle and Soap Making,,N/A,10/3/24,New,,Hobbies & Interests | Arts and Crafts | Candle and Soap Making,v1
IAB-Category,sr_canoeingandkayaking,Sports,Extreme Sports,Canoeing and Kayaking,,N/A,10/3/24,New,,Sports | Extreme Sports | Canoeing and Kayaking,v1
IAB-Category,sr_carculture,Automotive,Car Culture,,,N/A,10/3/24,New,,Automotive | Car Culture,v1
IAB-Category,sr_cardgames,Hobbies & Interests,Games and Puzzles,Card Games,,N/A,10/3/24,New,,Hobbies & Interests | Games and Puzzles | Card Games,v1
IAB-Category,sr_careeradvice,Careers,Career Advice,,,N/A,10/3/24,New,,Careers | Career Advice,v1
IAB-Category,sr_careerplanning,Careers,Career Planning,,,N/A,10/3/24,New,,Careers | Career Planning,v1
IAB-Category,sr_careers,Careers,,,,N/A,10/3/24,New,,Careers,v1
IAB-Category,sr_casinoandgamblingvideogames,Video Gaming,Video Game Genres,Casino and Gambling Video Games,,N/A,10/3/24,New,,Video Gaming | Video Game Genres | Casino and Gambling Video Games,v1
IAB-Category,sr_casinos_and_gambling,Attractions,Casinos & Gambling,,,N/A,10/3/24,New,,Attractions | Casinos & Gambling,v1
IAB-Category,sr_casualgames,Video Gaming,Video Game Genres,Casual Games,,N/A,10/3/24,New,,Video Gaming | Video Game Genres | Casual Games,v1
IAB-Category,sr_cats,Pets,Cats,,,N/A,10/3/24,New,,Pets | Cats,v1
IAB-Category,sr_celebritydeaths,Pop Culture,Celebrity Deaths,,,N/A,10/3/24,New,,Pop Culture | Celebrity Deaths,v1
IAB-Category,sr_celebrityfamilies,Pop Culture,Celebrity Families,,,N/A,10/3/24,New,,Pop Culture | Celebrity Families,v1
IAB-Category,sr_celebrityhomes,Pop Culture,Celebrity Homes,,,N/A,10/3/24,New,,Pop Culture | Celebrity Homes,v1
IAB-Category,sr_celebritypregnancy,Pop Culture,Celebrity Pregnancy,,,N/A,10/3/24,New,,Pop Culture | Celebrity Pregnancy,v1
IAB-Category,sr_celebrityrelationships,Pop Culture,Celebrity Relationships,,,N/A,10/3/24,New,,Pop Culture | Celebrity Relationships,v1
IAB-Category,sr_celebrityscandal,Pop Culture,Celebrity Scandal,,,N/A,10/3/24,New,,Pop Culture | Celebrity Scandal,v1
IAB-Category,sr_celebritystyle,Pop Culture,Celebrity Style,,,N/A,10/3/24,New,,Pop Culture | Celebrity Style,v1
IAB-Category,sr_certifiedpre_d_ownedcars,Automotive,Auto Type,Certified Pre-Owned Cars,,N/A,10/3/24,New,,Automotive | Auto Type | Certified Pre-Owned Cars,v1
IAB-Category,sr_cheerleading,Sports,Cheerleading,,,N/A,10/3/24,New,,Sports | Cheerleading,v1
IAB-Category,sr_chemistry,Science,Chemistry,,,N/A,10/3/24,New,,Science | Chemistry,v1
IAB-Category,sr_childrensclothing,Style & Fashion,Children's Clothing,,,N/A,10/3/24,New,,Style & Fashion | Children's Clothing,v1
IAB-Category,sr_childrensgamesandtoys,Shopping,Children's Games and Toys,,,N/A,10/3/24,New,,Shopping | Children's Games and Toys,v1
IAB-Category,sr_childrenshealth,Healthy Living,Children's Health,,,N/A,10/3/24,New,,Healthy Living | Children's Health,v1
IAB-Category,sr_childrensmusic,Music,Children's Music,,,N/A,10/3/24,New,,Music | Children's Music,v1
IAB-Category,sr_christianity,Religion & Spirituality,Christianity,,,N/A,10/3/24,New,,Religion & Spirituality | Christianity,v1
IAB-Category,sr_cigars,Hobbies & Interests,Cigars,,,N/A,10/3/24,New,,Hobbies & Interests | Cigars,v1
IAB-Category,sr_civicaffairs,Politics,Civic affairs,,,N/A,10/3/24,New,,Politics | Civic affairs,v1
IAB-Category,sr_civilengineeringindustry,Business and Finance,Industries,Civil Engineering Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Civil Engineering Industry,v1
IAB-Category,sr_classicalmusic,Music,Classical Music,,,N/A,10/3/24,New,,Music | Classical Music,v1
IAB-Category,sr_classiccars,Automotive,Auto Type,Classic Cars,,N/A,10/3/24,New,,Automotive | Auto Type | Classic Cars,v1
IAB-Category,sr_classichits,Music,Classic Hits,,,N/A,10/3/24,New,,Music | Classic Hits,v1
IAB-Category,sr_classicrock,Music,Rock Music,Classic Rock,,N/A,10/3/24,New,,Music | Rock Music | Classic Rock,v1
IAB-Category,sr_climbing,Sports,Extreme Sports,Climbing,,N/A,10/3/24,New,,Sports | Extreme Sports | Climbing,v1
IAB-Category,sr_cloudcomputing,Technology & Computing,Computing,Internet,Cloud Computing,N/A,10/3/24,New,,Technology & Computing | Computing | Internet | Cloud Computing,v1
IAB-Category,sr_coldandflu,Medical Health,Diseases and Conditions,Cold and Flu,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Cold and Flu,v1
IAB-Category,sr_collecting,Hobbies & Interests,Collecting,,,N/A,10/3/24,New,,Hobbies & Interests | Collecting,v1
IAB-Category,sr_collegebaseball,Sports,College Sports,College Baseball,,N/A,10/3/24,New,,Sports | College Sports | College Baseball,v1
IAB-Category,sr_collegebasketball,Sports,College Sports,College Basketball,,N/A,10/3/24,New,,Sports | College Sports | College Basketball,v1
IAB-Category,sr_collegeeducation,Education,College Education,,,N/A,10/3/24,New,,Education | College Education,v1
IAB-Category,sr_collegefootball,Sports,College Sports,College Football,,N/A,10/3/24,New,,Sports | College Sports | College Football,v1
IAB-Category,sr_collegeplanning,Education,College Education,College Planning,,N/A,10/3/24,New,,Education | College Education | College Planning,v1
IAB-Category,sr_collegeradio,Music,College Radio,,,N/A,10/3/24,New,,Music | College Radio,v1
IAB-Category,sr_collegesports,Sports,College Sports,,,N/A,10/3/24,New,,Sports | College Sports,v1
IAB-Category,sr_comedy,Genres,Comedy,,,N/A,10/3/24,New,,Genres | Comedy,v1
IAB-Category,sr_comedy_lp_musicandaudio_rp_,Music,Comedy (Music and Audio),,,N/A,10/3/24,New,,Music | Comedy (Music and Audio),v1
IAB-Category,sr_comicbooks,Hobbies & Interests,Collecting,Comic Books,,N/A,10/3/24,New,,Hobbies & Interests | Collecting | Comic Books,v1
IAB-Category,sr_comicsandgraphicnovels,Books and Literature,Comics and Graphic Novels,,,N/A,10/3/24,New,,Books and Literature | Comics and Graphic Novels,v1
IAB-Category,sr_commercialtrucks,Automotive,Auto Body Styles,Commercial Trucks,,N/A,10/3/24,New,,Automotive | Auto Body Styles | Commercial Trucks,v1
IAB-Category,sr_commodities,Business and Finance,Economy,Commodities,,N/A,10/3/24,New,,Business and Finance | Economy | Commodities,v1
IAB-Category,sr_communication,Communication,,,,N/A,10/3/24,New,,Communication,v1
IAB-Category,sr_computeranimation,Technology & Computing,Computing,Computer Software and Applications,Computer Animation,N/A,10/3/24,New,,Technology & Computing | Computing | Computer Software and Applications | Computer Animation,v1
IAB-Category,sr_computernetworking,Technology & Computing,Computing,Computer Networking,,N/A,10/3/24,New,,Technology & Computing | Computing | Computer Networking,v1
IAB-Category,sr_computerperipherals,Technology & Computing,Computing,Computer Peripherals,,N/A,10/3/24,New,,Technology & Computing | Computing | Computer Peripherals,v1
IAB-Category,sr_computing,Technology & Computing,Computing,,,N/A,10/3/24,New,,Technology & Computing | Computing,v1
IAB-Category,sr_conceptcars,Automotive,Auto Type,Concept Cars,,N/A,10/3/24,New,,Automotive | Auto Type | Concept Cars,v1
IAB-Category,sr_consolegames,Video Gaming,Console Games,,,N/A,10/3/24,New,,Video Gaming | Console Games,v1
IAB-Category,sr_constructionindustry,Business and Finance,Industries,Construction Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Construction Industry,v1
IAB-Category,sr_consumerbanking,Personal Finance,Consumer Banking,,,N/A,10/3/24,New,,Personal Finance | Consumer Banking,v1
IAB-Category,sr_consumerelectronics,Technology & Computing,Consumer Electronics,,,N/A,10/3/24,New,,Technology & Computing | Consumer Electronics,v1
IAB-Category,sr_consumerissues,Business and Finance,Business,Consumer Issues,,N/A,10/3/24,New,,Business and Finance | Business | Consumer Issues,v1
IAB-Category,sr_contemporaryhits_pop_top40,Music,Contemporary Hits/Pop/Top 40,,,N/A,10/3/24,New,,Music | Contemporary Hits/Pop/Top 40,v1
IAB-Category,sr_contentproduction,Hobbies & Interests,Content Production,,,N/A,10/3/24,New,,Hobbies & Interests | Content Production,v1
IAB-Category,sr_convertible,Automotive,Auto Body Styles,Convertible,,N/A,10/3/24,New,,Automotive | Auto Body Styles | Convertible,v1
IAB-Category,sr_cooking,Food & Drink,Cooking,,,N/A,10/3/24,New,,Food & Drink | Cooking,v1
IAB-Category,sr_cosmeticmedicalservices,Medical Health,Cosmetic Medical Services,,,N/A,10/3/24,New,,Medical Health | Cosmetic Medical Services,v1
IAB-Category,sr_costume,Fine Art,Costume,,,N/A,10/3/24,New,,Fine Art | Costume,v1
IAB-Category,sr_countrymusic,Music,Country Music,,,N/A,10/3/24,New,,Music | Country Music,v1
IAB-Category,sr_coupe,Automotive,Auto Body Styles,Coupe,,N/A,10/3/24,New,,Automotive | Auto Body Styles | Coupe,v1
IAB-Category,sr_couponsanddiscounts,Shopping,Coupons and Discounts,,,N/A,10/3/24,New,,Shopping | Coupons and Discounts,v1
IAB-Category,sr_creditcards,Personal Finance,Personal Debt,Credit Cards,,N/A,10/3/24,New,,Personal Finance | Personal Debt | Credit Cards,v1
IAB-Category,sr_cricket,Sports,Cricket,,,N/A,10/3/24,New,,Sports | Cricket,v1
IAB-Category,sr_crime,Crime,,,,N/A,10/3/24,New,,Crime,v1
IAB-Category,sr_crime_and_harmfulactstoindividuals_society_and_humanrightviolations,Sensitive Topics,"Crime & Harmful Acts to Individuals, Society & Human Right Violations",,,N/A,10/3/24,PENDING,"Removed Comma, APPROVED - Collin Stoffel 10/2/2024","Sensitive Topics | Crime & Harmful Acts to Individuals, Society & Human Right Violations",v1
IAB-Category,sr_crossover,Automotive,Auto Body Styles,Crossover,,N/A,10/3/24,New,,Automotive | Auto Body Styles | Crossover,v1
IAB-Category,sr_cruises,Travel,Travel Type,Cruises,,N/A,10/3/24,New,,Travel | Travel Type | Cruises,v1
IAB-Category,sr_currencies,Business and Finance,Economy,Currencies,,N/A,10/3/24,New,,Business and Finance | Economy | Currencies,v1
IAB-Category,sr_cycling,Sports,Cycling,,,N/A,10/3/24,New,,Sports | Cycling,v1
IAB-Category,sr_dance,Fine Art,Dance,,,N/A,10/3/24,New,,Fine Art | Dance,v1
IAB-Category,sr_danceandelectronicmusic,Music,Dance and Electronic Music,,,N/A,10/3/24,New,,Music | Dance and Electronic Music,v1
IAB-Category,sr_darts,Sports,Darts,,,N/A,10/3/24,New,,Sports | Darts,v1
IAB-Category,sr_dashcamvideos,Automotive,Dash Cam Videos,,,N/A,10/3/24,New,,Automotive | Dash Cam Videos,v1
IAB-Category,sr_databases,Technology & Computing,Computing,Computer Software and Applications,Databases,N/A,10/3/24,New,,Technology & Computing | Computing | Computer Software and Applications | Databases,v1
IAB-Category,sr_datastorageandwarehousing,Technology & Computing,Computing,Data Storage and Warehousing,,N/A,10/3/24,New,,Technology & Computing | Computing | Data Storage and Warehousing,v1
IAB-Category,sr_dating,Family and Relationships,Dating,,,N/A,10/3/24,New,,Family and Relationships | Dating,v1
IAB-Category,sr_daycareandpre_d_school,Family and Relationships,Parenting,Daycare and Pre-School,,N/A,10/3/24,New,,Family and Relationships | Parenting | Daycare and Pre-School,v1
IAB-Category,sr_daytrips,Travel,Travel Type,Day Trips,,N/A,10/3/24,New,,Travel | Travel Type | Day Trips,v1
IAB-Category,sr_death_injury_ormilitaryconflict,Sensitive Topics,"Death, Injury, or Military Conflict",,,N/A,10/3/24,PENDING,"Removed Comma, APPROVED - Collin Stoffel 10/2/2024","Sensitive Topics | Death, Injury, or Military Conflict",v1
IAB-Category,sr_debatedsensitivesocialissues,Sensitive Topics,Debated Sensitive Social Issues,,,N/A,10/3/24,New,,Sensitive Topics | Debated Sensitive Social Issues,v1
IAB-Category,sr_debtfactoring_and_invoicediscounting,Business and Finance,Business,Business Banking & Finance,Debt Factoring & Invoice Discounting,N/A,10/3/24,New,,Business and Finance | Business | Business Banking & Finance | Debt Factoring & Invoice Discounting,v1
IAB-Category,sr_defenseindustry,Business and Finance,Industries,Defense Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Defense Industry,v1
IAB-Category,sr_dentalhealth,Medical Health,Diseases and Conditions,Dental Health,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Dental Health,v1
IAB-Category,sr_deodorantandantiperspirant,Style & Fashion,Personal Care,Deodorant and Antiperspirant,,N/A,10/3/24,New,,Style & Fashion | Personal Care | Deodorant and Antiperspirant,v1
IAB-Category,sr_design,Fine Art,Design,,,N/A,10/3/24,New,,Fine Art | Design,v1
IAB-Category,sr_designerclothing,Style & Fashion,Designer Clothing,,,N/A,10/3/24,New,,Style & Fashion | Designer Clothing,v1
IAB-Category,sr_desktoppublishing,Technology & Computing,Computing,Computer Software and Applications,Desktop Publishing,N/A,10/3/24,New,,Technology & Computing | Computing | Computer Software and Applications | Desktop Publishing,v1
IAB-Category,sr_desktops,Technology & Computing,Computing,Desktops,,N/A,10/3/24,New,,Technology & Computing | Computing | Desktops,v1
IAB-Category,sr_dessertsandbaking,Food & Drink,Desserts and Baking,,,N/A,10/3/24,New,,Food & Drink | Desserts and Baking,v1
IAB-Category,sr_developmentalsites,Real Estate,Developmental Sites,,,N/A,10/3/24,New,,Real Estate | Developmental Sites,v1
IAB-Category,sr_diabetes,Medical Health,Diseases and Conditions,Diabetes,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Diabetes,v1
IAB-Category,sr_digestivedisorders,Medical Health,Diseases and Conditions,Digestive Disorders,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Digestive Disorders,v1
IAB-Category,sr_digitalarts,Fine Art,Digital Arts,,,N/A,10/3/24,New,,Fine Art | Digital Arts,v1
IAB-Category,sr_digitalaudio,Technology & Computing,Computing,Computer Software and Applications,Digital Audio,N/A,10/3/24,New,,Technology & Computing | Computing | Computer Software and Applications | Digital Audio,v1
IAB-Category,sr_diningout,Food & Drink,Dining Out,,,N/A,10/3/24,New,,Food & Drink | Dining Out,v1
IAB-Category,sr_disabledsports,Sports,Disabled Sports,,,N/A,10/3/24,New,,Sports | Disabled Sports,v1
IAB-Category,sr_disasters,Disasters,,,,N/A,10/3/24,New,,Disasters,v1
